original_dir,p:\myPictures\Dropbox Backup\Camera Uploads
duplicate_dir,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads

files_indexed_dir1,9224
dirs_indexed_dir1,13
index_errors_dir1,0
index_duration_dir1,1820.02

files_indexed_dir2,1346
dirs_indexed_dir2,6
index_errors_dir2,0
index_duration_dir2,475.22

compare_duration,0.00

duplicate_files_found,1343
duplicate_size_bytes,5375686467

original_path,duplicate_path,size_bytes,hash
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-10-08 17.04.57.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-10-08 17.04.57.jpg,15292,d9d72d8fdc673a87d9735ed0a338799e82531f42d1ab0cd98ca5928d851e6914
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.08.26.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.08.26.jpg,23202,c3778bc4f796274cd1fc5b26e5c2ab4e51999401f02cb7eadc10ff9653e25364
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.05.05.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.05.05.jpg,27532,7a8f3e7a5f412eba2b38d294db9ff6f8cbce532a97b661d23d0a20f47c8a5a07
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.07.52.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.07.52.jpg,28744,b0a55c13164294d8fc9a1973ae59099a7ed79bd8ff2ab6c33e5d1f6f9047c9f9
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.01.29.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.01.29.jpg,34508,4685dbe509967d1cc62f766bb2385629a923e2360fa98aae464815f080c16de7
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.03.29.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.03.29.jpg,35584,708fcd0a68b05500ae9e55bbc32d892f619602e7fe3b30b7cb5e4f1fa87eaa80
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.04.11.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.04.11.jpg,42750,734dd07cde9d47683e6a5d95e97c9d2fb1eb47449e619d04e5e683186e430bdd
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.05.17.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.05.17.jpg,44839,afe68e90e0f5b30df16bb63e13634855bef9d3f001f284bf6027df07d12aac76
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.04.53.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.04.53.jpg,48863,147595b0dab2d6e14423db241eabcf894c0d3d156910c2033dff755e1bd210f9
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.03.48.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-19 14.03.48.jpg,51470,64e4f3ce9baf45ecb62cb22a33c419be9bca56255cc986507decd9a04df6e097
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-11 16.44.15.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-02-11 16.44.15.jpg,53822,28c38dd7217a8e157c919d05f40dd0d0a95da0b8dd46c3dff613f68c22bee892
